runID,Isotope,Activity,x,y,z
0,Ba133,100000.0,-10.0,0,3
1,Ba133,100000.0,-6.67,0,3
2,Ba133,100000.0,-3.33,0,3
3,Ba133,100000.0,0.0,0,3
4,Ba133,100000.0,3.33,0,3
5,Ba133,100000.0,6.67,0,3
6,Ba133,100000.0,10.0,0,3
7,Ba133,100000.0,13.33,0,3
8,Ba133,100000.0,16.67,0,3
9,Ba133,100000.0,20.0,0,3
10,Cs137,100000.0,-10.0,0,3
11,Cs137,100000.0,-6.67,0,3
12,Cs137,100000.0,-3.33,0,3
13,Cs137,100000.0,0.0,0,3
14,Cs137,100000.0,3.33,0,3
15,Cs137,100000.0,6.67,0,3
16,Cs137,100000.0,10.0,0,3
17,Cs137,100000.0,13.33,0,3
18,Cs137,100000.0,16.67,0,3
19,Cs137,100000.0,20.0,0,3
20,Co57,100000.0,-10.0,0,3
21,Co57,100000.0,-6.67,0,3
22,Co57,100000.0,-3.33,0,3
23,Co57,100000.0,0.0,0,3
24,Co57,100000.0,3.33,0,3
25,Co57,100000.0,6.67,0,3
26,Co57,100000.0,10.0,0,3
27,Co57,100000.0,13.33,0,3
28,Co57,100000.0,16.67,0,3
29,Co57,100000.0,20.0,0,3
30,F18,100000.0,-10.0,0,3
31,F18,100000.0,-6.67,0,3
32,F18,100000.0,-3.33,0,3
33,F18,100000.0,0.0,0,3
34,F18,100000.0,3.33,0,3
35,F18,100000.0,6.67,0,3
36,F18,100000.0,10.0,0,3
37,F18,100000.0,13.33,0,3
38,F18,100000.0,16.67,0,3
39,F18,100000.0,20.0,0,3
40,Sr90,100000.0,-10.0,0,3
41,Sr90,100000.0,-6.67,0,3
42,Sr90,100000.0,-3.33,0,3
43,Sr90,100000.0,0.0,0,3
44,Sr90,100000.0,3.33,0,3
45,Sr90,100000.0,6.67,0,3
46,Sr90,100000.0,10.0,0,3
47,Sr90,100000.0,13.33,0,3
48,Sr90,100000.0,16.67,0,3
49,Sr90,100000.0,20.0,0,3
50,Sr82,100000.0,-10.0,0,3
51,Sr82,100000.0,-6.67,0,3
52,Sr82,100000.0,-3.33,0,3
53,Sr82,100000.0,0.0,0,3
54,Sr82,100000.0,3.33,0,3
55,Sr82,100000.0,6.67,0,3
56,Sr82,100000.0,10.0,0,3
57,Sr82,100000.0,13.33,0,3
58,Sr82,100000.0,16.67,0,3
59,Sr82,100000.0,20.0,0,3
60,Tl201,100000.0,-10.0,0,3
61,Tl201,100000.0,-6.67,0,3
62,Tl201,100000.0,-3.33,0,3
63,Tl201,100000.0,0.0,0,3
64,Tl201,100000.0,3.33,0,3
65,Tl201,100000.0,6.67,0,3
66,Tl201,100000.0,10.0,0,3
67,Tl201,100000.0,13.33,0,3
68,Tl201,100000.0,16.67,0,3
69,Tl201,100000.0,20.0,0,3
70,Eu152,100000.0,-10.0,0,3
71,Eu152,100000.0,-6.67,0,3
72,Eu152,100000.0,-3.33,0,3
73,Eu152,100000.0,0.0,0,3
74,Eu152,100000.0,3.33,0,3
75,Eu152,100000.0,6.67,0,3
76,Eu152,100000.0,10.0,0,3
77,Eu152,100000.0,13.33,0,3
78,Eu152,100000.0,16.67,0,3
79,Eu152,100000.0,20.0,0,3
80,I137,100000.0,-10.0,0,3
81,I137,100000.0,-6.67,0,3
82,I137,100000.0,-3.33,0,3
83,I137,100000.0,0.0,0,3
84,I137,100000.0,3.33,0,3
85,I137,100000.0,6.67,0,3
